W1,W2,W3,W4,W5,W6,W7,W8,,B1,B2,B3,B4,B5,B6,B7,B8
0.502,0.476,0.435,0.461,0.469,0.43,0.487,0.472,,0.496,0.472,0.433,0.46,0.461,0.42,0.481,0.468
0.498,0.476,0.434,0.46,0.462,0.424,0.482,0.471,,0.49,0.465,0.426,0.452,0.452,0.412,0.472,0.463
0.495,0.47,0.43,0.461,0.455,0.418,0.484,0.467,,0.486,0.457,0.419,0.448,0.447,0.406,0.471,0.456
0.485,0.463,0.425,0.456,0.456,0.418,0.481,0.464,,0.473,0.453,0.415,0.441,0.449,0.405,0.467,0.456
0.481,0.463,0.421,0.453,0.456,0.421,0.472,0.461,,0.476,0.449,0.41,0.439,0.446,0.406,0.461,0.452
0.477,0.457,0.42,0.446,0.448,0.416,0.467,0.458,,0.473,0.447,0.408,0.436,0.445,0.406,0.457,0.45
0.482,0.456,0.414,0.443,0.442,0.411,0.471,0.459,,0.475,0.447,0.407,0.435,0.439,0.401,0.459,0.451
0.479,0.456,0.418,0.443,0.446,0.41,0.469,0.454,,0.475,0.446,0.408,0.435,0.441,0.399,0.457,0.449
0.488,0.461,0.426,0.451,0.451,0.415,0.473,0.461,,0.479,0.451,0.416,0.44,0.446,0.403,0.463,0.453
0.495,0.468,0.429,0.46,0.46,0.421,0.479,0.466,,0.484,0.458,0.419,0.45,0.452,0.41,0.468,0.458
0.496,0.469,0.426,0.464,0.459,0.422,0.483,0.468,,0.489,0.464,0.422,0.461,0.452,0.413,0.475,0.463
0.497,0.475,0.425,0.462,0.458,0.413,0.481,0.475,,0.493,0.473,0.425,0.464,0.452,0.406,0.477,0.472
0.497,0.47,0.429,0.461,0.462,0.42,0.476,0.478,,0.491,0.466,0.427,0.46,0.455,0.412,0.471,0.472
0.502,0.471,0.436,0.462,0.466,0.424,0.483,0.469,,0.491,0.463,0.428,0.454,0.456,0.409,0.473,0.461
0.502,0.472,0.435,0.463,0.464,0.433,0.487,0.469,,0.487,0.46,0.423,0.45,0.452,0.413,0.468,0.459
0.505,0.469,0.429,0.457,0.468,0.426,0.485,0.465,,0.487,0.455,0.416,0.444,0.452,0.409,0.467,0.455
0.498,0.462,0.424,0.454,0.464,0.42,0.47,0.463,,0.481,0.45,0.412,0.441,0.446,0.406,0.462,0.454
0.489,0.46,0.417,0.443,0.458,0.418,0.473,0.46,,0.476,0.448,0.409,0.434,0.447,0.405,0.462,0.451
0.481,0.455,0.417,0.443,0.452,0.415,0.465,0.456,,0.476,0.446,0.409,0.435,0.446,0.403,0.459,0.449
0.482,0.46,0.414,0.443,0.45,0.414,0.47,0.458,,0.476,0.449,0.406,0.436,0.442,0.401,0.461,0.45
0.488,0.465,0.424,0.456,0.452,0.418,0.477,0.467,,0.481,0.453,0.414,0.444,0.444,0.405,0.467,0.457
0.491,0.468,0.429,0.463,0.467,0.425,0.481,0.474,,0.482,0.458,0.418,0.453,0.455,0.413,0.47,0.464
0.497,0.469,0.429,0.447,0.452,0.424,0.484,0.475,,0.49,0.464,0.425,0.444,0.446,0.414,0.477,0.469
0.5,0.48,0.428,0.454,0.461,0.426,0.484,0.476,,0.495,0.477,0.428,0.454,0.454,0.417,0.48,0.473
0.489,0.472,0.428,0.455,0.458,0.424,0.476,0.469,,0.485,0.468,0.425,0.453,0.45,0.415,0.471,0.466
0.492,0.471,0.428,0.46,0.462,0.421,0.479,0.473,,0.485,0.463,0.42,0.451,0.452,0.411,0.472,0.464
0.495,0.469,0.428,0.458,0.461,0.427,0.479,0.47,,0.486,0.457,0.417,0.444,0.451,0.413,0.47,0.458
0.493,0.463,0.424,0.458,0.459,0.422,0.478,0.465,,0.481,0.453,0.412,0.443,0.449,0.408,0.467,0.456
0.487,0.459,0.424,0.451,0.457,0.417,0.473,0.458,,0.479,0.449,0.412,0.438,0.447,0.404,0.465,0.452
0.481,0.454,0.417,0.44,0.453,0.417,0.471,0.456,,0.476,0.445,0.409,0.433,0.445,0.406,0.464,0.449
0.481,0.458,0.416,0.439,0.445,0.412,0.47,0.46,,0.475,0.447,0.408,0.433,0.437,0.401,0.462,0.451
0.479,0.46,0.414,0.439,0.441,0.403,0.469,0.462,,0.474,0.447,0.406,0.432,0.433,0.392,0.461,0.451
0.492,0.465,0.425,0.454,0.451,0.421,0.479,0.465,,0.479,0.453,0.412,0.441,0.443,0.408,0.468,0.454
0.491,0.469,0.429,0.46,0.453,0.427,0.483,0.466,,0.481,0.459,0.42,0.451,0.445,0.415,0.473,0.457
0.493,0.473,0.425,0.46,0.46,0.428,0.485,0.466,,0.487,0.467,0.421,0.456,0.452,0.418,0.476,0.46
0.491,0.474,0.427,0.453,0.466,0.429,0.484,0.47,,0.487,0.471,0.427,0.453,0.458,0.421,0.48,0.467
0.493,0.473,0.429,0.446,0.46,0.423,0.479,0.467,,0.487,0.468,0.427,0.444,0.453,0.414,0.475,0.463
0.494,0.467,0.43,0.455,0.463,0.428,0.483,0.47,,0.486,0.459,0.422,0.447,0.452,0.415,0.474,0.462
0.492,0.465,0.434,0.462,0.46,0.43,0.481,0.466,,0.481,0.455,0.418,0.449,0.451,0.414,0.471,0.455
0.488,0.461,0.426,0.459,0.447,0.419,0.48,0.462,,0.482,0.451,0.412,0.443,0.441,0.408,0.469,0.452
0.481,0.465,0.424,0.454,0.451,0.416,0.48,0.459,,0.479,0.452,0.413,0.439,0.443,0.407,0.467,0.452
0.477,0.461,0.42,0.448,0.454,0.419,0.471,0.463,,0.476,0.45,0.409,0.437,0.445,0.408,0.463,0.454
0.476,0.461,0.418,0.438,0.441,0.412,0.469,0.461,,0.475,0.45,0.409,0.433,0.435,0.404,0.462,0.452
0.48,0.463,0.419,0.444,0.45,0.418,0.469,0.463,,0.475,0.45,0.41,0.436,0.439,0.407,0.462,0.453
0.492,0.469,0.429,0.453,0.46,0.425,0.481,0.472,,0.479,0.455,0.417,0.439,0.448,0.413,0.467,0.458
0.495,0.472,0.428,0.455,0.464,0.428,0.483,0.47,,0.484,0.463,0.42,0.444,0.453,0.416,0.473,0.461
0.496,0.475,0.428,0.456,0.456,0.424,0.487,0.471,,0.489,0.469,0.424,0.452,0.447,0.415,0.48,0.465
0.494,0.473,0.429,0.454,0.46,0.424,0.483,0.473,,0.488,0.471,0.429,0.455,0.454,0.417,0.479,0.47
0.49,0.469,0.431,0.453,0.459,0.425,0.479,0.474,,0.486,0.466,0.429,0.452,0.451,0.416,0.474,0.469
0.487,0.459,0.434,0.46,0.458,0.425,0.481,0.466,,0.479,0.451,0.425,0.452,0.446,0.413,0.472,0.458
0.495,0.456,0.431,0.461,0.459,0.426,0.484,0.459,,0.482,0.446,0.418,0.448,0.446,0.41,0.472,0.45
0.49,0.465,0.431,0.453,0.449,0.423,0.481,0.463,,0.482,0.452,0.418,0.441,0.446,0.411,0.468,0.453
0.488,0.463,0.42,0.451,0.453,0.419,0.476,0.459,,0.48,0.451,0.411,0.438,0.445,0.408,0.464,0.451
0.482,0.463,0.421,0.445,0.452,0.416,0.47,0.455,,0.476,0.449,0.409,0.434,0.444,0.405,0.461,0.447
0.476,0.461,0.416,0.44,0.441,0.408,0.468,0.456,,0.474,0.448,0.409,0.432,0.434,0.4,0.46,0.447
0.483,0.462,0.422,0.444,0.447,0.411,0.47,0.458,,0.475,0.449,0.411,0.436,0.439,0.402,0.461,0.449
0.49,0.465,0.424,0.45,0.458,0.417,0.479,0.464,,0.48,0.453,0.412,0.438,0.443,0.405,0.466,0.453
0.491,0.468,0.423,0.449,0.466,0.429,0.48,0.467,,0.482,0.459,0.414,0.441,0.45,0.415,0.469,0.458
0.495,0.471,0.428,0.451,0.461,0.424,0.481,0.471,,0.488,0.465,0.424,0.447,0.452,0.414,0.474,0.464
0.491,0.476,0.429,0.453,0.444,0.421,0.478,0.472,,0.487,0.474,0.429,0.454,0.438,0.413,0.475,0.469
0.497,0.478,0.43,0.455,0.46,0.427,0.479,0.466,,0.49,0.473,0.428,0.453,0.452,0.418,0.474,0.461
0.503,0.47,0.422,0.457,0.464,0.429,0.477,0.459,,0.488,0.462,0.415,0.448,0.452,0.417,0.472,0.453
0.49,0.471,0.433,0.465,0.456,0.427,0.48,0.465,,0.482,0.459,0.417,0.448,0.446,0.412,0.47,0.456
0.486,0.466,0.432,0.462,0.456,0.427,0.479,0.465,,0.479,0.452,0.415,0.443,0.448,0.414,0.468,0.453
0.485,0.455,0.426,0.448,0.451,0.417,0.472,0.461,,0.477,0.445,0.413,0.436,0.443,0.407,0.463,0.451
0.482,0.458,0.426,0.448,0.454,0.422,0.473,0.464,,0.474,0.446,0.414,0.433,0.444,0.408,0.461,0.454
0.479,0.464,0.425,0.44,0.451,0.423,0.467,0.472,,0.474,0.446,0.412,0.43,0.442,0.409,0.458,0.455
0.477,0.462,0.426,0.446,0.45,0.425,0.468,0.469,,0.473,0.447,0.413,0.435,0.441,0.41,0.46,0.455
0.49,0.463,0.432,0.456,0.45,0.421,0.475,0.47,,0.479,0.45,0.418,0.44,0.44,0.408,0.463,0.457
0.492,0.473,0.43,0.453,0.462,0.425,0.481,0.474,,0.481,0.462,0.421,0.443,0.451,0.414,0.47,0.464
0.491,0.472,0.435,0.456,0.466,0.433,0.482,0.476,,0.484,0.466,0.431,0.452,0.456,0.422,0.474,0.47
0.491,0.469,0.433,0.454,0.46,0.43,0.479,0.476,,0.486,0.467,0.433,0.455,0.454,0.423,0.475,0.472
0.493,0.466,0.43,0.453,0.453,0.426,0.482,0.473,,0.487,0.463,0.427,0.451,0.448,0.418,0.476,0.467
0.494,0.468,0.433,0.459,0.461,0.43,0.484,0.471,,0.486,0.46,0.424,0.45,0.452,0.419,0.474,0.463
0.495,0.472,0.437,0.459,0.46,0.427,0.483,0.471,,0.484,0.459,0.421,0.444,0.45,0.414,0.47,0.46
0.497,0.469,0.432,0.457,0.457,0.423,0.479,0.47,,0.484,0.455,0.416,0.439,0.445,0.411,0.465,0.457
0.493,0.47,0.424,0.449,0.46,0.421,0.473,0.464,,0.481,0.453,0.411,0.436,0.448,0.41,0.461,0.454
0.483,0.46,0.421,0.448,0.457,0.426,0.474,0.461,,0.476,0.45,0.412,0.437,0.447,0.411,0.459,0.452
0.476,0.459,0.42,0.441,0.448,0.426,0.469,0.462,,0.474,0.449,0.41,0.433,0.442,0.41,0.458,0.451
0.477,0.459,0.423,0.446,0.441,0.424,0.475,0.464,,0.472,0.448,0.412,0.435,0.436,0.408,0.461,0.452
0.488,0.469,0.428,0.453,0.457,0.424,0.476,0.472,,0.476,0.455,0.416,0.44,0.446,0.411,0.463,0.458
0.493,0.468,0.433,0.462,0.463,0.427,0.48,0.472,,0.484,0.46,0.424,0.451,0.451,0.417,0.47,0.462
0.498,0.474,0.429,0.461,0.461,0.431,0.483,0.474,,0.491,0.469,0.425,0.457,0.452,0.422,0.476,0.469
0.495,0.477,0.427,0.459,0.454,0.428,0.479,0.474,,0.49,0.474,0.427,0.46,0.448,0.421,0.475,0.471
0.491,0.475,0.423,0.459,0.458,0.432,0.479,0.468,,0.484,0.47,0.42,0.458,0.452,0.425,0.474,0.465
0.49,0.471,0.432,0.461,0.452,0.425,0.482,0.474,,0.479,0.463,0.423,0.451,0.447,0.415,0.474,0.466
0.493,0.468,0.435,0.462,0.452,0.422,0.478,0.472,,0.481,0.458,0.42,0.446,0.448,0.414,0.469,0.46
0.492,0.467,0.427,0.458,0.454,0.425,0.479,0.465,,0.479,0.455,0.414,0.443,0.446,0.414,0.466,0.455
0.487,0.463,0.423,0.456,0.456,0.419,0.471,0.466,,0.479,0.452,0.412,0.44,0.446,0.41,0.46,0.455
0.485,0.456,0.415,0.447,0.457,0.422,0.466,0.465,,0.477,0.448,0.408,0.435,0.446,0.411,0.46,0.454
0.48,0.459,0.414,0.443,0.454,0.419,0.466,0.468,,0.474,0.448,0.408,0.435,0.444,0.412,0.458,0.454
0.479,0.454,0.419,0.443,0.451,0.418,0.457,0.46,,0.473,0.445,0.409,0.435,0.439,0.409,0.455,0.451
0.486,0.466,0.428,0.452,0.457,0.415,0.474,0.47,,0.479,0.453,0.417,0.441,0.444,0.406,0.463,0.458
0.492,0.467,0.416,0.452,0.462,0.427,0.478,0.47,,0.484,0.458,0.408,0.444,0.452,0.417,0.469,0.462
0.49,0.472,0.43,0.453,0.461,0.43,0.483,0.473,,0.485,0.467,0.426,0.449,0.453,0.42,0.475,0.467
0.492,0.47,0.433,0.457,0.458,0.43,0.485,0.477,,0.488,0.468,0.433,0.458,0.452,0.423,0.481,0.474
0.488,0.477,0.437,0.446,0.461,0.433,0.471,0.468,,0.482,0.473,0.435,0.444,0.453,0.425,0.466,0.464
0.488,0.476,0.439,0.464,0.458,0.424,0.483,0.473,,0.481,0.466,0.431,0.456,0.449,0.414,0.475,0.466
0.493,0.471,0.428,0.46,0.457,0.427,0.481,0.468,,0.485,0.458,0.414,0.446,0.447,0.415,0.471,0.458
0.49,0.472,0.429,0.457,0.455,0.427,0.477,0.466,,0.483,0.456,0.415,0.441,0.445,0.414,0.467,0.456
0.48,0.466,0.424,0.45,0.452,0.422,0.472,0.471,,0.477,0.452,0.412,0.437,0.446,0.412,0.461,0.457
0.48,0.461,0.418,0.451,0.442,0.411,0.469,0.464,,0.477,0.45,0.408,0.437,0.438,0.398,0.459,0.453
0.483,0.461,0.419,0.444,0.443,0.417,0.473,0.465,,0.474,0.449,0.406,0.433,0.439,0.403,0.46,0.453
0.482,0.465,0.423,0.445,0.445,0.419,0.478,0.466,,0.475,0.449,0.41,0.434,0.441,0.405,0.462,0.454
0.484,0.466,0.428,0.454,0.447,0.419,0.478,0.47,,0.476,0.453,0.414,0.44,0.442,0.406,0.464,0.458
0.488,0.472,0.431,0.461,0.46,0.431,0.481,0.472,,0.479,0.461,0.421,0.451,0.453,0.418,0.471,0.463
0.492,0.471,0.433,0.462,0.468,0.428,0.482,0.475,,0.486,0.466,0.429,0.459,0.459,0.42,0.476,0.469
0.493,0.474,0.433,0.461,0.471,0.434,0.488,0.477,,0.489,0.472,0.433,0.461,0.463,0.427,0.483,0.474
0.494,0.474,0.433,0.46,0.471,0.435,0.483,0.473,,0.489,0.47,0.43,0.458,0.462,0.425,0.477,0.469
0.496,0.474,0.434,0.465,0.466,0.432,0.483,0.476,,0.488,0.466,0.426,0.455,0.456,0.421,0.474,0.467
0.494,0.472,0.437,0.464,0.463,0.432,0.482,0.472,,0.484,0.46,0.422,0.449,0.453,0.418,0.472,0.461
0.49,0.466,0.431,0.457,0.46,0.413,0.476,0.469,,0.478,0.454,0.417,0.443,0.45,0.404,0.468,0.456
0.491,0.462,0.421,0.455,0.458,0.415,0.476,0.461,,0.482,0.452,0.412,0.439,0.446,0.408,0.466,0.453
0.485,0.453,0.424,0.45,0.446,0.412,0.47,0.459,,0.477,0.446,0.412,0.435,0.442,0.407,0.46,0.449
0.475,0.454,0.418,0.442,0.448,0.417,0.466,0.454,,0.473,0.445,0.409,0.432,0.443,0.41,0.457,0.446
0.483,0.456,0.421,0.452,0.437,0.415,0.467,0.453,,0.473,0.446,0.41,0.436,0.433,0.409,0.458,0.446
0.492,0.466,0.43,0.455,0.442,0.424,0.476,0.459,,0.478,0.451,0.417,0.441,0.436,0.414,0.463,0.45
0.493,0.471,0.433,0.464,0.459,0.428,0.479,0.47,,0.483,0.46,0.423,0.453,0.449,0.419,0.469,0.46
0.496,0.47,0.432,0.463,0.463,0.432,0.478,0.471,,0.49,0.465,0.429,0.459,0.454,0.423,0.472,0.466
